date,volume,open,close,predictions
2024-02-28,10912,102.4,103.0,105.59564971923828
2024-02-29,7241,103.0,103.2,104.94878387451172
2024-03-01,9700,103.4,103.6,104.56005096435547
2024-03-04,10608,103.4,104.4,104.36556243896484
2024-03-05,11845,104.2,105.0,104.3340072631836
2024-03-06,5037,105.0,105.0,104.47428131103516
2024-03-07,6489,104.8,104.4,104.73841857910156
2024-03-11,7657,104.2,104.2,105.01374816894531
2024-03-12,15196,104.4,106.6,105.17742919921875
2024-03-13,10614,107.4,106.0,105.24282836914062
2024-03-14,219424,106.6,129.4,105.5470199584961
2024-03-15,490648,142.0,126.0,105.82888793945312
2024-03-18,460703,128.4,138.4,108.93295288085938
2024-03-19,411218,142.0,141.0,112.31129455566406
2024-03-20,979968,141.4,135.2,116.84522247314453
2024-03-21,211282,135.8,127.0,121.45362854003906
2024-03-22,211036,125.8,118.6,124.65228271484375
2024-03-25,90304,118.0,118.4,125.78709411621094
2024-03-26,72325,119.4,120.4,124.90803527832031
2024-03-27,60490,121.0,117.2,123.36140441894531
2024-03-28,49839,118.0,116.2,122.04370880126953
2024-03-29,67125,116.6,118.8,120.65719604492188
2024-04-01,99243,118.8,124.6,119.3783187866211
2024-04-02,40503,124.6,123.0,118.68956756591797
2024-04-03,25507,123.4,121.0,119.08222198486328
2024-04-04,21667,121.0,122.8,119.67889404296875
2024-04-05,14897,123.4,122.8,120.04890441894531
2024-04-08,23054,122.8,122.6,120.50405883789062
2024-04-09,307053,124.6,126.0,120.92363739013672
2024-04-10,67796,127.0,121.8,121.24417114257812
2024-04-11,47005,121.4,121.2,121.89574432373047
2024-04-12,25505,122.0,120.2,122.05997467041016
2024-04-15,25214,121.0,120.0,121.94047546386719
2024-04-16,34860,119.8,125.2,121.59896087646484
2024-04-17,24072,125.4,123.2,121.19636535644531
2024-04-18,21136,123.6,121.8,121.47005462646484
2024-04-19,18382,121.8,121.2,121.72463989257812
2024-04-22,15530,121.0,122.6,121.77298736572266
2024-04-23,97761,122.8,127.6,121.65931701660156
2024-04-24,258624,128.0,125.0,121.66853332519531
2024-04-25,159029,126.4,128.8,122.33788299560547
2024-04-26,49014,129.8,128.4,122.84602355957031
2024-04-27,23627,129.0,127.2,123.69068145751953
2024-04-29,20442,128.6,127.0,124.48304748535156
2024-04-30,13340,127.8,127.2,124.98918914794922
2024-05-02,20402,127.8,128.0,125.28071594238281
2024-05-03,25529,128.2,126.6,125.46607208251953
2024-05-06,27367,126.6,126.0,125.6810073852539
2024-05-07,23973,126.0,125.6,125.70590209960938
2024-05-08,49473,126.0,127.6,125.5869140625
2024-05-10,13047,129.0,126.8,125.38539123535156
2024-05-13,28582,127.2,126.6,125.43407440185547
2024-05-14,21504,126.6,124.0,125.47969818115234
2024-05-15,25300,124.0,122.4,125.50291442871094
2024-05-16,16029,122.4,122.6,125.19908905029297
2024-05-17,26252,122.2,120.2,124.6226577758789
2024-05-20,28688,120.8,119.8,124.05213165283203
2024-05-21,14947,118.4,120.2,123.27658081054688
2024-05-22,4647,120.2,119.4,122.4941635131836
2024-05-23,9351,119.6,121.2,121.8763427734375
2024-05-24,36421,121.2,118.0,121.31987762451172
2024-05-27,26934,117.4,114.0,121.0942153930664
2024-05-28,12602,114.2,114.8,120.63835144042969
2024-05-29,92798,114.4,117.2,119.67073059082031
2024-05-30,66028,119.4,114.8,118.73492431640625
2024-05-31,28832,114.4,113.2,118.23265075683594
2024-06-03,33407,114.4,110.8,117.6791000366211
2024-06-04,12114,111.0,113.2,116.99092102050781
2024-06-05,16670,112.0,113.0,116.0486831665039
2024-06-06,5698,113.0,112.0,115.42728424072266
2024-06-07,9138,111.4,112.0,114.99005126953125
2024-06-10,10400,111.8,110.4,114.56391906738281
2024-06-11,12431,110.4,110.0,114.19661712646484
2024-06-13,12604,107.4,108.8,113.70023345947266
2024-06-14,9553,109.2,109.6,113.16554260253906
2024-06-17,6575,109.8,109.0,112.5351333618164
2024-06-18,6428,108.6,107.2,112.0460433959961
2024-06-19,12351,107.2,104.6,111.60211944580078
2024-06-20,22370,105.0,108.0,111.01412200927734
2024-06-21,6698,108.0,106.2,110.12760925292969
2024-06-24,1620,107.8,105.8,109.65338897705078
2024-06-25,6545,105.6,105.8,109.18569946289062
2024-06-26,21437,105.8,105.2,108.73619842529297
2024-06-27,11428,105.8,106.4,108.3503646850586
2024-06-28,10749,106.6,105.6,107.96432495117188
2024-07-01,4406,105.6,106.2,107.7721176147461
2024-07-02,3380,106.8,106.2,107.58039855957031
2024-07-03,8608,106.6,106.0,107.48258209228516
2024-07-04,13650,106.0,104.4,107.42823028564453
2024-07-05,2302,104.8,104.2,107.36727142333984
2024-07-08,10804,104.2,103.4,107.1092300415039
2024-07-09,14827,103.4,101.8,106.77604675292969
2024-07-10,13269,101.6,98.8,106.35489654541016
2024-07-11,8112,99.4,101.8,105.75825500488281
2024-07-12,2029,102.2,101.0,104.8057632446289
2024-07-15,1663,101.8,101.0,104.20404052734375
2024-07-16,2406,100.6,101.0,103.73160552978516
2024-07-17,5843,101.6,99.4,103.3809585571289
2024-07-18,1772,99.6,100.0,103.12752532958984
2024-07-19,4399,101.0,101.2,102.75096130371094
